customer_id,vip_customer_flag,business_name,contact_name,email_address,phone_number,postal_address
37284890,0,,Kyle Keith,arcu.Morbi@ut.co.uk,(578) 125-5684,"795 Troy Terrace, Atlanta, GA 31106"
39051642,0,,Hedy Vang,cursus.et.eros@loremfringilla.ca,(383) 134-3234,"1876 Petterle Court, Brea, CA 92822"
39257855,0,,Yoko Travis,scelerisque.neque.sed@atlacus.net,(818) 864-3843,"3149 Kinsman Court, Winston Salem, NC 27116"
39548720,0,,Wynter Roberts,ac@Utsemper.net,(721) 262-6519,"89318 Heffernan Crossing, Santa Barbara, CA 93150"
39740640,0,,Hunter Newton,quam.quis.diam@facilisisfacilisis.org,(831) 996-1240,"2 Rockefeller Avenue, Waco, TX 76796"
43041991,0,,Iliana Hester,mauris@consectetuerrhoncus.ca,(716) 866-7734,"3409 Oriole Point, Peoria, IL 61629"
44118510,0,,Joshua Delaney,Proin@vitaeerat.co.uk,(838) 282-2276,"62 Karstens Junction, Tulsa, OK 74141"
45194914,0,,Mollie Meyers,eu.odio@tempor.edu,(309) 329-9140,"4276 Hallows Terrace, San Antonio, TX 78260"
45297401,0,,Chastity Charles,in.felis@Mauriseu.co.uk,(186) 176-2590,"22278 Waubesa Road, Birmingham, AL 35225"
46772691,0,,Guy Ochoa,montes.nascetur@semperrutrum.net,(720) 242-4596,"92483 Doe Crossing Drive, Lansing, MI 48956"
48343746,0,,Zena Washington,risus@ProindolorNulla.edu,(921) 805-5150,"823 Glacier Hill Point, San Bernardino, CA 92415"
52197592,0,,Germaine Green,ultrices.Vivamus@orciin.edu,(466) 455-4160,"6 Jana Park, San Antonio, TX 78240"
54208310,0,,Roth Black,luctus@nec.co.uk,(330) 983-4433,"605 Bunting Road, White Plains, NY 10606"
54906216,0,,Sydney Dejesus,mattis.velit@vel.net,(110) 771-1999,"3 Morning Circle, San Francisco, CA 94177"
55117588,0,,Amena Petersen,amet.massa@Maurisvestibulumneque.net,(383) 554-7219,"6625 Lukken Circle, Brooklyn, NY 11205"
56466419,0,,Quentin Marshall,velit@Pellentesquehabitantmorbi.org,(203) 755-9348,"100 Bunting Drive, Washington, DC 20557"
61384059,0,,Jenna Hendricks,purus.Nullam.scelerisque@ligula.net,(840) 746-9696,"33837 Independence Place, Oklahoma City, OK 73124"
65513095,0,,Lunea Rios,nisl.Maecenas.malesuada@nuncac.org,(311) 982-5690,"289 Porter Crossing, Silver Spring, MD 20918"
67395976,0,,Erasmus Neal,dolor@perconubia.edu,(774) 548-5638,"907 Briar Crest Terrace, Santa Barbara, CA 93150"
67845867,0,,Chester Best,felis@eros.net,(608) 587-5791,"102 Fallview Terrace, Minneapolis, MN 55441"
68192943,0,,Rae Hawkins,et.magnis@posuereat.edu,(484) 158-4493,"181 Packers Way, Boston, MA 2216"
70829564,0,,Brooke Perkins,sit@vitaealiquetnec.net,(340) 732-9367,"87 Brentwood Park, Dallas, TX 75358"
71921656,0,,Theodore Brock,feugiat@Aliquameratvolutpat.edu,(662) 476-0315,"400 Summit Lane, Brooklyn, NY 11210"
73881432,0,,Ayanna Foreman,molestie@mattis.edu,(146) 146-9356,"30 Gulseth Junction, San Francisco, CA 94154"
76809844,0,,Philip Ware,faucibus.Morbi@semmagna.org,(615) 720-3672,"58034 Nelson Street, Washington, DC 20036"
77008626,0,,Rhonda Wilder,sed@quispedePraesent.edu,(653) 854-3876,"92 Northfield Terrace, Louisville, KY 40287"
77254528,0,,Savannah Conner,Morbi.sit@pedemalesuada.net,(361) 128-7285,"52509 Almo Lane, Raleigh, NC 27658"
79633538,0,,Serena Malone,dictum@Fuscefermentumfermentum.edu,(137) 440-1643,"30 Onsgard Crossing, Los Angeles, CA 90040"
80303778,0,,Kyla Hebert,vitae.nibh.Donec@ideratEtiam.org,(715) 654-8147,"4 Manufacturers Pass, Greensboro, NC 27499"
81225456,0,,Coby Lucas,auctor.odio@utdolordapibus.co.uk,(177) 816-3420,"7316 Dryden Road, Memphis, TN 38114"
81608803,0,,Dustin Daugherty,neque.sed@ultriciessemmagna.ca,(951) 720-1227,"207 Bunting Street, Sioux City, IA 51105"
82525352,0,,Adara Langley,per.conubia.nostra@neque.org,(696) 810-8990,"88 Burning Wood Junction, Anaheim, CA 92812"
82710915,0,,Sydney Bartlett,nibh@ultricesposuere.edu,(982) 231-7357,"4829 Badeau Parkway, Chattanooga, TN 37405"
83314867,0,,Eagan Bray,Vestibulum.ante@sitametmassa.net,(529) 738-3373,"55617 Straubel Drive, Philadelphia, PA 19146"
83607008,0,,Jael Rice,at.auctor@nonvestibulumnec.net,(394) 444-6027,"68316 Emmet Trail, San Diego, CA 92153"
84444672,0,,Melinda Price,fringilla@Nulla.net,(748) 701-8010,"318 Park Meadow Hill, San Antonio, TX 78285"
84670643,0,,Adena Jenkins,in@dictum.org,(342) 731-9079,"22577 Starling Lane, Chicago, IL 60604"
86306325,0,,Debra Finley,arcu@nisiMaurisnulla.co.uk,(542) 954-1230,"3627 Pine View Circle, Cleveland, OH 44118"
86819310,0,,Gray Gutierrez,ullamcorper@tempusrisus.edu,(496) 849-2265,"7271 Ramsey Way, Washington, DC 20420"
86999993,0,,Anastasia Owens,egestas.a@sapien.edu,(423) 401-3016,"86432 Westridge Alley, Wichita, KS 67230"
87840221,0,,Kenneth Potts,nec.ante@Donecnibhenim.edu,(976) 544-1168,"1 Springview Circle, Helena, MT 59623"
88086482,0,,Karly Hardin,ipsum.Suspendisse@euerosNam.ca,(106) 281-7513,"9776 Beilfuss Parkway, Cleveland, OH 44118"
88636756,0,,Derek Conrad,arcu@elit.ca,(275) 477-2907,"6 Carioca Crossing, Arvada, CO 80005"
89108221,0,,Blaine Ashley,amet.consectetuer.adipiscing@vestibulum.com,(261) 759-5806,"561 Basil Court, Greensboro, NC 27404"
91215938,0,,Cally Reynolds,penatibus.et@lectusa.com,(901) 166-8355,"556 Lakewood Park, Bismarck, ND 58505"
91333010,0,,Nolan Slater,sociis.natoque.penatibus@pedeCras.co.uk,(540) 487-5928,"99 Sage Street, Reno, NV 89505"
79325492,0,DabZ,Irene Peters,ipetersn@patch.com,(192) 180-2622,"2 Ryan Avenue, Columbia, SC 29203"
78048917,0,Fatz,Justin Murphy,jmurphyt@php.net,(951) 192-3333,"3639 Tennessee Way, Mobile, AL 36689"
87704844,0,Kazu,Christina Mendoza,cmendoza15@google.pl,(529) 838-0755,"54 Luster Park, Des Moines, IA 50369"
58125210,0,Omba,Jennifer Peterson,jpeterson4@homestead.com,(376) 185-7734,"7817 Carpenter Lane, Charlottesville, VA 22903"
39566929,0,Ooba,Ashley Ford,afordr@simplemachines.org,(158) 355-6858,"422 Harper Junction, Lake Worth, FL 33467"
63486059,0,Tavu,Jose Johnson,jjohnson12@epa.gov,(349) 112-3689,"91 Laurel Park, Huntsville, AL 35810"
66347751,0,Yotz,Arthur Bryant,abryant8@adobe.com,(753) 980-5495,"194 David Place, North Little Rock, AR 72118"
30090534,0,Abata,Shawn Barnes,sbarnes18@europa.eu,(959) 677-9827,"5 5th Street, Sioux Falls, SD 57110"
59859218,0,Jaloo,Bonnie Roberts,broberts14@hubpages.com,(748) 268-7532,"7 Farmco Court, Montgomery, AL 36125"
64498369,0,Mycat,Jeffrey Williams,jwilliams5@state.gov,(924) 896-3371,"40693 Florence Park, Salt Lake City, UT 84115"
89913086,0,Rooxo,Andrea Stephens,astephens10@csmonitor.com,(030) 069-4355,"22 Reinke Terrace, Indianapolis, IN 46231"
53800729,0,Vidoo,Mildred Gibson,mgibson1a@behance.net,(477) 696-8483,"50137 Oakridge Pass, Conroe, TX 77305"
15629028,0,Oyoloo,Richard Richardson,rrichardsony@squarespace.com,(267) 043-5096,"7941 Cottonwood Plaza, Baltimore, MD 21282"
33855852,0,Voonyx,Jonathan Murray,jmurraye@paginegialle.it,(395) 210-5149,"334 Hoard Parkway, Alhambra, CA 91841"
47210940,0,Wikivu,Mildred Peterson,mpetersonk@census.gov,(551) 438-8253,"7575 Stone Corner Street, El Paso, TX 79989"
49841095,0,Yakijo,Kenneth Miller,kmiller3@alibaba.com,(282) 524-5773,"56 Sunbrook Terrace, Metairie, LA 70033"
57099031,0,Centizu,Roger Fuller,rfuller1d@meetup.com,(540) 724-7142,"93214 Emmet Hill, Portland, OR 97216"
84692899,0,Dabfeed,Dennis Perkins,dperkinsz@shutterfly.com,(470) 411-0744,"25331 Florence Court, Young America, MN 55564"
20801004,0,Gabtune,Randy Myers,rmyers1b@wunderground.com,(341) 210-0999,"383 Gale Lane, Irvine, CA 92717"
86701458,0,Innojam,Phillip Kim,pkiml@list-manage.com,(441) 924-6526,"61 Bartelt Road, New York City, NY 10105"
15323911,0,Jetwire,Ralph Robinson,rrobinsonh@uol.com.br,(169) 278-8061,"337 Anderson Terrace, El Paso, TX 88514"
44678581,0,LivePet,Theresa Berry,tberry13@tiny.cc,(347) 985-0405,"7502 Riverside Crossing, Wilmington, DE 19886"
32401462,0,Skippad,Rachel King,rkingx@baidu.com,(798) 340-4834,"63 Scott Road, New Haven, CT 6538"
89268448,0,Yakitri,Roy Wood,rwood1f@tinypic.com,(699) 388-0362,"4 Dakota Alley, Stockton, CA 95219"
71421418,0,Edgeclub,Margaret Reynolds,mreynoldso@mapquest.com,(838) 987-7597,"41 Butternut Way, Tucson, AZ 85737"
51389195,0,Realbuzz,Julie Daniels,jdaniels9@netlog.com,(988) 704-8409,"41 Evergreen Point, Huntsville, AL 35815"
46320120,0,Linklinks,Betty Hunt,bhuntw@mayoclinic.com,(427) 915-4138,"10 Crownhardt Center, Denver, CO 80223"
37646559,0,Babbleblab,Wayne Rose,wrosei@unc.edu,(676) 164-7258,"5863 Cody Alley, Fort Wayne, IN 46852"
40319040,0,Babbleopia,Katherine Gibson,kgibson6@miitbeian.gov.cn,(999) 216-7704,"1 Ilene Crossing, Memphis, TN 38126"
56022706,0,Blognation,James Collins,jcollins1c@businesswire.com,(398) 763-8862,"2 Anniversary Center, Oklahoma City, OK 73129"
65546093,0,Jabbersphere,Victor Harrison,vharrison1@geocities.com,(404) 940-2991,"684 Express Avenue, Houston, TX 77070"
66752951,0,Jabbersphere,Jennifer Simpson,jsimpsonj@google.com.br,(797) 876-7026,"595 Glacier Hill Way, Tulsa, OK 74133"
59906088,0,business_name,contact_name,email,phone,address
10472425,0,,Zephr Mcgee,nec@orci.ca,(708) 764-4578,"2 Nevada Junction, Pittsburgh, PA 15235"
36723474,0,,Brody Love,et.malesuada@consequat.net,(360) 338-4848,"96 Eliot Way, Fresno, CA 93715"
62871706,0,,Nicole Mcconnell,enim.Mauris.quis@Vivamusnibh.net,(892) 616-0264,"8 Delaware Hill, Garden Grove, CA 92844"
80731306,0,,Molly Grant,mauris.erat@cursusdiamat.net,(689) 843-0460,"791 Cherokee Court, Merrifield, VA 22119"
86650221,0,,Quail Vance,Mauris@Proin.co.uk,(229) 484-5107,"25 Green Plaza, Davenport, IA 52804"
88793600,0,,Roanna Acevedo,sit@ac.org,(868) 464-7466,"7 Cottonwood Plaza, Pensacola, FL 32505"
17324237,0,Quaxo,Jimmy Ford,jford2@nyu.edu,(960) 473-6813,"7 Sheridan Plaza, Lubbock, TX 79491"
44165886,0,Rhynyx,Raymond Long,rlong11@japanpost.jp,(333) 716-1970,"3 Ridgeview Park, Arlington, VA 22217"
14687002,0,Voonder,Denise Johnston,djohnston19@google.ca,(144) 408-8407,"29 Arapahoe Lane, Denver, CO 80291"
30571760,0,Edgepulse,Gerald Martinez,gmartinez0@hostgator.com,(991) 321-6632,"900 Butternut Avenue, Albany, NY 12242"
55062246,0,Photolist,Raymond Stephens,rstephens16@vkontakte.ru,(558) 050-0005,"45 Homewood Park, Charlotte, NC 28215"
13078657,1,,Nasim Sheppard,ut@ultricessit.co.uk,(930) 295-6752,"5 Melvin Street, New York City, NY 10039"
19130167,1,,Rhona Stanley,metus@dictumplacerataugue.net,(237) 294-5071,"992 Haas Avenue, San Diego, CA 92186"
25307380,1,,Sade Santiago,ipsum@eu.co.uk,(497) 492-4618,"2 Farragut Crossing, Anchorage, AK 99512"
27946849,1,,Amery Washington,Suspendisse.commodo@egestasrhoncus.ca,(191) 476-0002,"710 Old Gate Circle, Chicago, IL 60641"
41306538,1,,Kaden Sharpe,a@Incondimentum.org,(246) 987-2818,"99 Hanson Way, Richmond, VA 23242"
43888068,1,,Brock Case,magna.Phasellus@Phasellus.net,(544) 534-1984,"602 Sommers Parkway, Norfolk, VA 23520"
46513559,1,,Merrill Freeman,pellentesque@Donecest.net,(838) 734-1768,"7746 Mitchell Point, New Haven, CT 6510"
47053635,1,,Astra Edwards,Aliquam.fringilla.cursus@necmalesuada.org,(177) 600-1729,"5733 Walton Center, Jamaica, NY 11470"
55993230,1,,Sydney Robertson,tempor.arcu@ascelerisque.com,(304) 577-5758,"3061 Sachs Lane, Scottsdale, AZ 85255"
57953513,1,,Calvin Henry,blandit@quis.com,(327) 821-0113,"52 Sachtjen Avenue, Tampa, FL 33661"
58221608,1,,Nolan Robertson,neque.sed@turpis.ca,(822) 296-4465,"8698 Crest Line Parkway, Columbia, SC 29208"
58328853,1,,Graham Frederick,risus.at@orci.co.uk,(707) 474-5854,"22 Superior Way, Boston, MA 2203"
60138533,1,,Sasha King,ac.mattis@pretiumaliquet.net,(733) 104-5058,"86073 Sloan Way, Pueblo, CO 81015"
60928894,1,,Barrett Howell,ultricies.ornare.elit@Mauris.ca,(538) 115-5665,"0864 Bluestem Center, Sacramento, CA 95823"
63796222,1,,Shay Davidson,tempus.scelerisque@turpisnonenim.co.uk,(934) 777-4129,"423 Kenwood Park, Temple, TX 76505"
63902374,1,,Mona Matthews,Donec.nibh.enim@pede.co.uk,(723) 808-1834,"32174 Ridge Oak Plaza, San Francisco, CA 94177"
65462229,1,,Cailin Alford,gravida.sit@miAliquam.net,(368) 400-8301,"282 Acker Terrace, Winston Salem, NC 27157"
66895439,1,,Francesca Hodges,tempor.arcu.Vestibulum@tinciduntaliquamarcu.com,(324) 686-7614,"609 Everett Avenue, Des Moines, IA 50330"
69434132,1,,Michael Rutledge,eget.lacus@sitametorci.org,(366) 822-4574,"8231 Crowley Crossing, Cincinnati, OH 45999"
71355031,1,,Eric Donaldson,ante.ipsum.primis@gravidasagittis.com,(714) 520-4254,"62597 Lighthouse Bay Drive, Port Charlotte, FL 33954"
74527602,1,,Benjamin Miranda,Proin.vel.nisl@enim.ca,(992) 329-4925,"40 Lighthouse Bay Circle, Saint Petersburg, FL 33731"
74638441,1,,Leslie Pace,Vivamus.nisi@risus.com,(623) 686-1821,"839 Pepper Wood Street, El Paso, TX 88563"
78333524,1,,Lucas Trevino,eros@faucibusleo.ca,(176) 773-9482,"78 Summer Ridge Alley, Duluth, MN 55805"
81148466,1,,Hadley Sosa,convallis.convallis.dolor@aenim.co.uk,(222) 150-9436,"95567 Browning Crossing, Vero Beach, FL 32964"
81989618,1,,Tyrone Powell,Nullam.ut@tellusjusto.co.uk,(113) 724-9255,"91955 Mosinee Parkway, Indianapolis, IN 46278"
83077022,1,,Indira Odom,Etiam@nisi.ca,(714) 947-5101,"2 Hovde Plaza, Saint Paul, MN 55108"
85681517,1,,Kamal Newton,turpis@loremvehicula.com,(704) 685-9968,"718 Lakewood Parkway, Appleton, WI 54915"
90738629,1,,Judith Leonard,Ut.tincidunt.vehicula@urnajusto.org,(549) 439-1744,"2 Namekagon Trail, Trenton, NJ 8619"
97763370,1,,Medge Ratliff,nulla.ante@posuerevulputate.org,(358) 751-8227,"75 Erie Terrace, Dayton, OH 45454"
22175173,1,Tavu,Bonnie Peters,bpeters7@ebay.co.uk,(841) 046-3262,"6 Little Fleur Drive, Asheville, NC 28815"
77104845,1,InnoZ,Robin Gardner,rgardnerd@ftc.gov,(849) 295-8639,"2172 Moose Avenue, Champaign, IL 61825"
76172150,1,Kazio,Samuel Hicks,shickss@edublogs.org,(521) 554-5962,"128 Northview Trail, Beaverton, OR 97075"
26784961,1,Leexo,Aaron Gutierrez,agutierrez1e@theatlantic.com,(358) 527-3469,"92 Drewry Avenue, Wichita, KS 67230"
47682575,1,Yadel,Shirley Gutierrez,sgutierrezm@mtv.com,(290) 361-9481,"97 Park Meadow Hill, Richmond, VA 23203"
15111913,1,Skaboo,Justin Lawrence,jlawrenceb@patch.com,(883) 939-1134,"553 Coolidge Drive, Charlotte, NC 28242"
27561031,1,Talane,Doris Banks,dbanksa@discovery.com,(638) 639-1027,"1 Montana Trail, Seattle, WA 98133"
14883540,1,Yambee,Nicole Gibson,ngibson17@weibo.com,(041) 696-5870,"8704 Washington Junction, Clearwater, FL 34615"
67255482,1,Edgetag,Michael Cruz,mcruzu@telegraph.co.uk,(031) 548-0943,"3 Texas Way, Trenton, NJ 8638"
69632095,1,Feedbug,Christina Dean,cdeanp@ed.gov,(394) 466-6734,"13 Forest Dale Place, Farmington, MI 48335"
47862586,1,Rhycero,Christine Welch,cwelchv@dagondesign.com,(592) 770-9160,"3 Luster Road, Shawnee Mission, KS 66220"
28838514,1,Topicware,Kathleen Young,kyoungf@histats.com,(128) 795-1428,"534 Union Lane, Pittsburgh, PA 15225"
28311678,1,Browsezoom,Terry Carter,tcarterg@shareasale.com,(641) 254-3654,"23 Hudson Center, Washington, DC 20530"
60306922,1,Chatterpoint,Elizabeth Chapman,echapmanc@ftc.gov,(477) 406-4840,"29 Cody Pass, Washington, DC 20231"
84592624,1,Chatterpoint,Martha Riley,mrileyq@hostgator.com,(450) 459-4457,"76 Lakewood Road, Eugene, OR 97405"
